latitude,longitude,datetime
50.820393835,-1.313190707,2018-08-29T15:14:41.834025
50.820393676,-1.313204893,2018-08-29T15:14:42.836356
50.820393676,-1.313204893,2018-08-29T15:14:43.838813
50.82038119,-1.313190381,2018-08-29T15:14:44.840468
50.82038103,-1.313204568,2018-08-29T15:14:45.842404
50.82038103,-1.313204568,2018-08-29T15:14:46.843773
50.82038103,-1.313204568,2018-08-29T15:14:47.845101
50.820374224,-1.313190056,2018-08-29T15:14:48.849959
50.820374224,-1.313190056,2018-08-29T15:14:49.854980
50.820374224,-1.313190056,2018-08-29T15:14:50.856405
50.820368545,-1.313190056,2018-08-29T15:14:51.858008
50.820368545,-1.313190056,2018-08-29T15:14:52.859483
50.820368545,-1.313190056,2018-08-29T15:14:53.862888
50.820368545,-1.313190056,2018-08-29T15:14:54.869861
50.820368545,-1.313190056,2018-08-29T15:14:55.871155
50.82035574,-1.313203918,2018-08-29T15:14:56.872564
50.82035574,-1.313203918,2018-08-29T15:14:57.874535
50.82035574,-1.313203918,2018-08-29T15:14:58.876209
50.820348774,-1.313203593,2018-08-29T15:14:59.878557
50.820348774,-1.313203593,2018-08-29T15:15:00.883783
50.820348774,-1.313203593,2018-08-29T15:15:01.892393
50.820343095,-1.313203593,2018-08-29T15:15:02.893999
50.820336129,-1.313203267,2018-08-29T15:15:03.897727
50.820336129,-1.313203267,2018-08-29T15:15:04.902813
50.820336129,-1.313203267,2018-08-29T15:15:05.904295
50.82033045,-1.313203267,2018-08-29T15:15:06.909165
50.82033045,-1.313203267,2018-08-29T15:15:07.911493
50.82033045,-1.313203267,2018-08-29T15:15:08.913427
50.82033045,-1.313203267,2018-08-29T15:15:09.916233
50.82033045,-1.313203267,2018-08-29T15:15:10.917594
50.82033045,-1.313203267,2018-08-29T15:15:11.919441
50.82033045,-1.313203267,2018-08-29T15:15:12.921212
50.82033045,-1.313203267,2018-08-29T15:15:13.924708
50.82033045,-1.313203267,2018-08-29T15:15:14.926564
50.82033045,-1.313203267,2018-08-29T15:15:15.929900
50.82033045,-1.313203267,2018-08-29T15:15:16.932106
50.820336288,-1.31318908,2018-08-29T15:15:17.933588
50.820336288,-1.31318908,2018-08-29T15:15:18.935239
50.820336288,-1.31318908,2018-08-29T15:15:19.937229
50.820336448,-1.313174894,2018-08-29T15:15:20.939781
50.820336448,-1.313174894,2018-08-29T15:15:21.942417
50.820336448,-1.313174894,2018-08-29T15:15:22.944611
50.820349093,-1.313175219,2018-08-29T15:15:23.946710
50.820349093,-1.313175219,2018-08-29T15:15:24.948033
50.820349093,-1.313175219,2018-08-29T15:15:25.949588
50.820361898,-1.313161357,2018-08-29T15:15:26.955474
50.820361898,-1.313161357,2018-08-29T15:15:27.962130
50.820361898,-1.313161357,2018-08-29T15:15:28.963959
50.820374543,-1.313161682,2018-08-29T15:15:29.965660
50.820387188,-1.313162007,2018-08-29T15:15:30.967316
50.820387188,-1.313162007,2018-08-29T15:15:31.969779
50.820399993,-1.313148146,2018-08-29T15:15:32.974852
50.820405672,-1.313148146,2018-08-29T15:15:33.976644
50.820405672,-1.313148146,2018-08-29T15:15:34.983338
50.820425283,-1.313148796,2018-08-29T15:15:35.985558
50.82043225,-1.313149121,2018-08-29T15:15:36.988821
50.82043225,-1.313149121,2018-08-29T15:15:37.992974
50.820450733,-1.31313526,2018-08-29T15:15:38.994707
50.8204577,-1.313135585,2018-08-29T15:15:39.996413
50.8204577,-1.313135585,2018-08-29T15:15:41.003531
50.820470345,-1.31313591,2018-08-29T15:15:42.006244
50.82048299,-1.313136235,2018-08-29T15:15:43.008207
50.82048299,-1.313136235,2018-08-29T15:15:44.010094
50.820495635,-1.31313656,2018-08-29T15:15:45.012779
50.82050828,-1.313136886,2018-08-29T15:15:46.014447
50.82050828,-1.313136886,2018-08-29T15:15:47.019123
50.820528051,-1.313123349,2018-08-29T15:15:48.023546
50.820540697,-1.313123674,2018-08-29T15:15:49.025615
50.820540697,-1.313123674,2018-08-29T15:15:50.030393
50.820553342,-1.313123999,2018-08-29T15:15:51.031852
50.820565987,-1.313124325,2018-08-29T15:15:52.033305
50.820565987,-1.313124325,2018-08-29T15:15:53.036613
50.820578632,-1.31312465,2018-08-29T15:15:54.041197
50.820591277,-1.313124975,2018-08-29T15:15:55.043017
50.820591277,-1.313124975,2018-08-29T15:15:56.049003
50.820610889,-1.313125625,2018-08-29T15:15:57.050410
50.820617855,-1.313125951,2018-08-29T15:15:58.051867
50.820617855,-1.313125951,2018-08-29T15:15:59.053540
50.820636179,-1.313126276,2018-08-29T15:16:00.055022
50.820643145,-1.313126601,2018-08-29T15:16:01.056464
50.820643145,-1.313126601,2018-08-29T15:16:02.057959
50.820668435,-1.313127251,2018-08-29T15:16:03.059360
50.820681081,-1.313127577,2018-08-29T15:16:04.061094
50.820681081,-1.313127577,2018-08-29T15:16:05.062123
50.820693726,-1.313127902,2018-08-29T15:16:06.063431
50.820706371,-1.313128227,2018-08-29T15:16:07.064781
50.820706371,-1.313128227,2018-08-29T15:16:08.066380
50.820719016,-1.313128552,2018-08-29T15:16:09.067656
50.820731661,-1.313128877,2018-08-29T15:16:10.069946
50.820731661,-1.313128877,2018-08-29T15:16:11.072080
50.820751273,-1.313129528,2018-08-29T15:16:12.073560
50.820756951,-1.313129528,2018-08-29T15:16:13.074945
50.820756951,-1.313129528,2018-08-29T15:16:14.076434
50.820776563,-1.313130178,2018-08-29T15:16:15.077740
50.820789208,-1.313130503,2018-08-29T15:16:16.079207
50.820789208,-1.313130503,2018-08-29T15:16:17.081043
50.820796015,-1.313145016,2018-08-29T15:16:18.084668
